"id","region","event_type","sector","impact_level","estimated_cost_million"
"1","Western Cape","Drought","Agriculture","High","500"
"2","KwaZulu-Natal","Flood","Infrastructure","Very High","1200"
"3","Gauteng","Heatwave","Energy","Medium","300"
"4","Eastern Cape","Drought","Agriculture","High","450"
"5","KwaZulu-Natal","Flood","Housing","Very High","900"
"6","Limpopo","Heatwave","Agriculture","Medium","200"
"7","Western Cape","Wildfire","Infrastructure","High","600"
"8","Free State","Drought","Agriculture","High","400"
"9","Gauteng","Storm","Infrastructure","Medium","350"
"10","KwaZulu-Natal","Flood","Transport","Very High","1100"
"1","Western Cape","Drought","Agriculture","High","500"
"2","KwaZulu-Natal","Flood","Infrastructure","Very High","1200"
"3","Gauteng","Heatwave","Energy","Medium","300"
"4","Eastern Cape","Drought","Agriculture","High","450"
"5","KwaZulu-Natal","Flood","Housing","Very High","900"
"6","Limpopo","Heatwave","Agriculture","Medium","200"
"7","Western Cape","Wildfire","Infrastructure","High","600"
"8","Free State","Drought","Agriculture","High","400"
"9","Gauteng","Storm","Infrastructure","Medium","350"
"10","KwaZulu-Natal","Flood","Transport","Very High","1100"
"1","Western Cape","Drought","Agriculture","High","500"
"2","KwaZulu-Natal","Flood","Infrastructure","Very High","1200"
"3","Gauteng","Heatwave","Energy","Medium","300"
"4","Eastern Cape","Drought","Agriculture","High","450"
"5","KwaZulu-Natal","Flood","Housing","Very High","900"
"6","Limpopo","Heatwave","Agriculture","Medium","200"
"7","Western Cape","Wildfire","Infrastructure","High","600"
"8","Free State","Drought","Agriculture","High","400"
"9","Gauteng","Storm","Infrastructure","Medium","350"
"10","KwaZulu-Natal","Flood","Transport","Very High","1100"
